Symbol	Description	Chromosome	Aliases
NEK8	NIMA related kinase 8	17	JCK, NEK12A, NPHP9, RHPD2
NEK9	NIMA related kinase 9	14	APUG, LCCS10, NC, NERCC, NERCC1
NELFA	negative elongation factor complex member A	4	NELF-A, P/OKcl.15, WHSC2
NELFB	negative elongation factor complex member B	9	COBRA1, NELF-B
NELFCD	negative elongation factor complex member C/D	20	HSPC130, NELF-C, NELF-D, TH1, TH1L
NELL1	neural EGFL like 1	11	IDH3GL, NRP1
NEMF	nuclear export mediator factor	14	NY-CO-1, SDCCAG1
NENF	neudesin neurotrophic factor	1	CIR2, SCIRP10, SPUF
NEO1	neogenin 1	15	IGDCC2, NGN, NTN1R2
NES	nestin	1	Nbla00170
NET1	neuroepithelial cell transforming 1	10	ARHGEF8A, NET1
NEU1	neuraminidase 1	6	NANH, NEU, SIAL1
NEU2	neuraminidase 2	2	SIAL2
NEU3	neuraminidase 3	11	SIAL3
NEU4	neuraminidase 4	2	
NEUROD1	neuronal differentiation 1	2	BETA2, BHF-1, MODY6, NEUROD, bHLHa3
NEUROG1	neurogenin 1	5	AKA, Math4C, NEUROD3, bHLHa6, ngn1
NEWENTRY	Record to support submission of GeneRIFs for a gene not in Gene (human; man).		
NF1	neurofibromin 1	17	NFNS, VRNF, WSS
NF2	neurofibromin 2	22	ACN, BANF, SCH
NFASC	neurofascin	1	NF, NRCAML
NFAT5	nuclear factor of activated T cells 5	16	NF-AT5, NFATL1, NFATZ, OREBP, TONEBP
NFATC1	nuclear factor of activated T cells 1	18	NF-ATC, NF-ATc1.2, NFAT2, NFATc
NFATC2	nuclear factor of activated T cells 2	20	NFAT1, NFATP
NFATC4	nuclear factor of activated T cells 4	14	NF-AT3, NF-ATC4, NFAT3
NFE2L2	nuclear factor, erythroid 2 like 2	2	HEBP1, IMDDHH, NRF2
NFIA	nuclear factor I A	1	BRMUTD, CTF, NF-I/A, NF1-A, NFI-A, NFI-L
NFIB	nuclear factor I B	9	CTF, HMGIC/NFIB, NF-I/B, NF1-B, NFI-B, NFI-RED2, NFIB3, NFIB
NFIC	nuclear factor I C	19	CTF, CTF5, NF-I, NFI
NFIL3	nuclear factor, interleukin 3 regulated	9	E4BP4, IL3BP1, NF-IL3AA, NFIL3
NFIX	nuclear factor I X	19	CTF, MRSHSS, NF-I/X, NF1-X, NF1A, SOTOS2
NFKB1	nuclear factor kappa B subunit 1	4	CVID12, EBP-1, KBF1, NF-kB1, NF-kappa-B, NF-kappaB, NFKB-p105, NFKB-p50, NFkappaB, p105, p50
NFKB2	nuclear factor kappa B subunit 2	10	CVID10, H2TF1, LYT-10, LYT10, NF-kB2, p100, p49/p100, p52
NFKBIA	NFKB inhibitor alpha	14	IKBA, MAD-3, NFKBI
NFKBIB	NFKB inhibitor beta	19	IKBB, TRIP9
NFXL1	nuclear transcription factor, X-box binding like 1	4	CDZFP, HOZFP, OZFP, URCC5
NFYA	nuclear transcription factor Y subunit alpha	6	CBF-A, CBF-B, HAP2, NF-YA
NFYB	nuclear transcription factor Y subunit beta	12	CBF-A, CBF-B, HAP3, NF-YB
NGB	neuroglobin	14	
NGDN	neuroguidin	14	C14orf120, CANu1, LCP5, NGD, lpd-2
NGF	nerve growth factor	1	Beta-NGF, HSAN5B, NGF
NGFR	nerve growth factor receptor	17	CD271, Gp80-LNGFR, TNFRSF16, p75(NTR), p75NTR
NHEJ1	non-homologous end joining factor 1	2	XLF
NHP2	NHP2 ribonucleoprotein	5	DKCB2P, NOLA2, NHP2
NID1	nidogen 1	1	NID
NID2	nidogen 2	14	NID-2
NIFK	nucleolar protein interacting with the FHA domain of MKI67	2	MKI67IP, Nopp34
NIN	ninein	14	SCKL7
NINJ1	ninjurin 1	9	NIN1, NINJURIN
NINL	ninein like	20	NLP
NIPA2	non imprinted in Prader-Willi/Angelman syndrome 2	15	SLC57A2
NIPBL	NIPBL, cohesin loading factor	5	CDLS, CDLS1, IDN3, IDN3-B, Scc2
NIPSNAP1	nipsnap homolog 1	22	
NISCH	nischarin	3	I-1, IR1, IRAS, hIRAS
NIT1	nitrilase 1	1	
NIT2	nitrilase family member 2	3	HEL-S-8a
NKAIN2	sodium/potassium transporting ATPase interacting 2	6	FAM77B, NKAIP2, TCBA, TCBA1
NKD1	naked cuticle homolog 1	16	Naked1
NKD2	naked cuticle homolog 2	5	Naked2
NKILA	NF-kappaB interacting lncRNA	20	
NKRF	NFKB repressing factor	X	ITBA4, NRF
NKX2-1	NK2 homeobox 1	14	BCH, BHC, NK-2, NKX2.1, NKX2A, NMTC1, T/EBP, TEBP, TITF1, TTF-1, TTF1
NKX2-3	NK2 homeobox 3	10	CSX3, NK2.3, NKX2.3, NKX2C, NKX4-3
NKX2-5	NK2 homeobox 5	5	CHNG5, CSX, CSX1, HLHS2, NKX2.5, NKX2E, NKX4-1, VSD3
NKX2-8	NK2 homeobox 8	14	NKX2.8, NKX2H, Nkx2-9
NKX3-1	NK3 homeobox 1	8	BAPX2, NKX3, NKX3.1, NKX3A
NKX3-2	NK3 homeobox 2	4	BAPX1, NKX3.2, NKX3B, SMMD
NKX6-1	NK6 homeobox 1	4	NKX6.1, NKX6A
NKX6-3	NK6 homeobox 3	8	NKX6.3
NLGN3	neuroligin 3	X	HNL3
NLGN4X	neuroligin 4, X-linked	X	ASPGX2, AUTSX2, HLNX, HNL4X, NLGN4
NLK	nemo like kinase	17	
NLRC3	NLR family CARD domain containing 3	16	CLR16.2, NOD3
NLRC5	NLR family CARD domain containing 5	16	CLR16.1, NOD27, NOD4
NLRP1	NLR family pyrin domain containing 1	17	AIADK, CARD7, CIDED, CLR17.1, DEFCAP, DEFCAP-L/S, MSPC, NAC, NALP1, PP1044, SLEV1, VAMAS1
NLRP3	NLR family pyrin domain containing 3	1	AGTAVPRL, AII, AVP, C1orf7, CIAS1, CLR1.1, DFNA34, FCAS, FCAS1, FCU, MWS, NALP3, PYPAF1
NLRP4	NLR family pyrin domain containing 4	19	CLR19.5, CT58, NALP4, PAN2, PYPAF4, RNH2
NLRP7	NLR family pyrin domain containing 7	19	CLR19.4, HYDM, NALP7, NOD12, PAN7, PYPAF3
NME1	NME/NM23 nucleoside diphosphate kinase 1	17	AWD, GAAD, NB, NBS, NDKA, NDPK-A, NDPKA, NM23, NM23-H1
NME2	NME/NM23 nucleoside diphosphate kinase 2	17	NDKB, NDPK-B, NDPKB, NM23-H2, NM23B, PUF
NME3	NME/NM23 nucleoside diphosphate kinase 3	16	DR-nm23, NDPK-C, NDPKC, NM23-H3, NM23H3, c371H6.2
NME5	NME/NM23 family member 5	5	NM23-H5, NM23H5, RSPH23
NME9	NME/NM23 family member 9	3	NM23-H9, TXL-2, TXL2, TXNDC6
NMI	N-myc and STAT interactor	2	
NMNAT2	nicotinamide nucleotide adenylyltransferase 2	1	C1orf15, PNAT2
NMT1	N-myristoyltransferase 1	17	NMT
NMU	neuromedin U	4	
NMUR2	neuromedin U receptor 2	5	FM-4, FM4, NMU-R2, NMU2R, TGR-1, TGR1
NNAT	neuronatin	20	Peg5
NNMT	nicotinamide N-methyltransferase	11	
NOB1	NIN1/PSMD8 binding protein 1 homolog	16	ART-4, MST158, MSTP158P, PSMD8BP1, NOB1
NOBOX	NOBOX oogenesis homeobox	7	OG-2, OG2, OG2X, POF5, TCAG_12042
NOC3L	NOC3 like DNA replication regulator	10	AD24, C10orf117, FAD24
NOCT	nocturnin	4	CCR4L, CCRN4L, Ccr4c, NOC
NOD1	nucleotide binding oligomerization domain containing 1	7	CARD4, CLR7.1, NLRC1
NOD2	nucleotide binding oligomerization domain containing 2	16	ACUG, BLAU, BLAUS, CARD15, CD, CLR16.3, IBD1, NLRC2B, PSORAS1, YAOS, NOD2
NODAL	nodal growth differentiation factor	10	HTX5
NOG	noggin	17	SYM1, SYNS1, SYNS1A
NOL10	nucleolar protein 10	2	PQBP5
NOL3	nucleolar protein 3	16	ARC, FCM, MYP, NOP, NOP30
NOL4	nucleolar protein 4	18	CT125, HRIHFB2255, NOLP
NONO	non-POU domain containing octamer binding	X	MRXS34, NMT55, NRB54, P54, P54NRB, PPP1R114
NOP10	NOP10 ribonucleoprotein	15	DKCB1, NOLA3P, NOP10
NOP14	NOP14 nucleolar protein	4	C4orf9, NOL14, RES4-25, RES425, UTP2
NOP16	NOP16 nucleolar protein	5	HSPC111, HSPC185
NOP53	NOP53 ribosome biogenesis factor	19	GLTSCR2, PICT-1, PICT1
NOS1	nitric oxide synthase 1	12	IHPS1, N-NOS, NC-NOS, NOS, bNOS, nNOS
NOS1AP	nitric oxide synthase 1 adaptor protein	1	6330408P19Rik, CAPON
NOS2	nitric oxide synthase 2	17	HEP-NOS, INOS, NOSA, NOS2
NOS3	nitric oxide synthase 3	7	ECNOS, eNOS
NOTCH1	notch 1	9	AOS5, AOVD1, TAN1, hN1
NOTCH2	notch 2	1	AGS2, HJCYS, hN2
NOTCH3	notch 3	19	CADASIL, CADASIL1, CASIL, IMF2, LMNS
NOTCH4	notch 4	6	INT3
NOTUM	notum, palmitoleoyl-protein carboxylesterase	17	hNOTUM
NOV	nephroblastoma overexpressed	8	CCN3, IBP-9, IGFBP-9, IGFBP9h, NOV
NOVA1	NOVA alternative splicing regulator 1	14	Nova-1
NOX1	NADPH oxidase 1	X	GP91-2, MOX1, NOH-1, NOH1
NOX4	NADPH oxidase 4	11	KOX, KOX-1, RENOX
NOX5	NADPH oxidase 5	15	
NOXA1	NADPH oxidase activator 1	9	NY-CO-31, SDCCAG31, p51NOX
NPAS2	neuronal PAS domain protein 2	2	MOP4, PASD4, bHLHe9
NPAT	nuclear protein, coactivator of histone transcription	11	E14, E14/NPAT, p220
NPBWR1	neuropeptides B and W receptor 1	8	GPR7
NPC1	NPC intracellular cholesterol transporter 1	18	NPC, SLC65A1
NPEPPS	aminopeptidase puromycin sensitive	17	AAP-S, MP100, PSA
NPHP4	nephrocystin 4	1	POC10, SLSN4
NPM1	nucleophosmin 1	5	B23, NPM
NPM1P5	nucleophosmin 1 pseudogene 5	15	NG5-4, NPMP5
NPPA	natriuretic peptide A	1	ANF, ANP, ATFB6, ATRST2, CDD, CDD-ANF, CDP, PND
NPPB	natriuretic peptide B	1	BNP
NPPC	natriuretic peptide C	2	CNP, CNP2
NPR1	natriuretic peptide receptor 1	1	ANPRA, ANPa, GUC2A, GUCY2A, NPRA
NPR2	natriuretic peptide receptor 2	9	AMDM, ANPRB, ANPb, ECDM, GUC2B, GUCY2B, NPRB, NPRBi, SNSK
NPRL2	NPR2 like, GATOR1 complex subunit	3	FFEVF2, NPR2, NPR2L, TUSC4
NPSR1	neuropeptide S receptor 1	7	ASRT2, GPR154, GPRA, NPSR, PGR14, VRR1
NPTX1	neuronal pentraxin 1	17	NP1
NPTX2	neuronal pentraxin 2	7	NARP, NP-II, NP2
NPY	neuropeptide Y	7	PYY4
NPY1R	neuropeptide Y receptor Y1	4	NPY1-R, NPYR
NPY5R	neuropeptide Y receptor Y5	4	NPY5-R, NPYR5, NPYY5-R
NQO1	NAD(P)H quinone dehydrogenase 1	16	DHQU, DIA4, DTD, NMOR1, NMORI, QR1
NQO2	N-ribosyldihydronicotinamide:quinone reductase 2	6	DHQV, DIA6, NMOR2, QR2
NR0B1	nuclear receptor subfamily 0 group B member 1	X	AHC, AHCH, AHX, DAX-1, DAX1, DSS, GTD, HHG, NROB1, SRXY2
NR0B2	nuclear receptor subfamily 0 group B member 2	1	SHP, SHP1
NR1D1	nuclear receptor subfamily 1 group D member 1	17	EAR1, THRA1, THRAL, ear-1, hRev
NR1D2	nuclear receptor subfamily 1 group D member 2	3	BD73, EAR-1R, RVR
NR1H2	nuclear receptor subfamily 1 group H member 2	19	LXR-b, LXRB, NER, NER-I, RIP15, UNR
NR1H3	nuclear receptor subfamily 1 group H member 3	11	LXR-a, LXRA, RLD-1
NR1H4	nuclear receptor subfamily 1 group H member 4	12	BAR, FXR, HRR-1, HRR1, PFIC5, RIP14
NR1I2	nuclear receptor subfamily 1 group I member 2	3	BXR, ONR1, PAR, PAR1, PAR2, PARq, PRR, PXR, SAR, SXR
NR1I3	nuclear receptor subfamily 1 group I member 3	1	CAR, CAR1, MB67
NR2C1	nuclear receptor subfamily 2 group C member 1	12	TR2
NR2C2	nuclear receptor subfamily 2 group C member 2	3	TAK1, TR4
NR2E1	nuclear receptor subfamily 2 group E member 1	6	TLL, TLX, XTLL
NR2E3	nuclear receptor subfamily 2 group E member 3	15	ESCS, PNR, RNR, RP37, rd7
NR2F1	nuclear receptor subfamily 2 group F member 1	5	BBOAS, BBSOAS, COUP-TFI, EAR-3, EAR3, ERBAL3, NR2F2, SVP44, TCFCOUP1, TFCOUP1
NR2F2	nuclear receptor subfamily 2 group F member 2	15	ARP1, CHTD4, COUPTFB, COUPTFII, NF-E3, NR2F1, SVP40, TFCOUP2
NR2F6	nuclear receptor subfamily 2 group F member 6	19	EAR-2, EAR2, ERBAL2
NR3C1	nuclear receptor subfamily 3 group C member 1	5	GCCR, GCR, GCRST, GR, GRL
NR3C2	nuclear receptor subfamily 3 group C member 2	4	MCR, MLR, MRVIT, NR3C2
NR4A1	nuclear receptor subfamily 4 group A member 1	12	GFRP1, HMR, N10, NAK-1, NGFIB, NP10, NUR77, TR3
NR4A2	nuclear receptor subfamily 4 group A member 2	2	HZF-3, NOT, NURR1, RNR1, TINUR
NR4A3	nuclear receptor subfamily 4 group A member 3	9	CHN, CSMF, MINOR, NOR1, TEC
NR5A1	nuclear receptor subfamily 5 group A member 1	9	AD4BP, ELP, FTZ1, FTZF1, POF7, SF-1, SF1, SPGF8, SRXX4, SRXY3, hSF-1
NR5A2	nuclear receptor subfamily 5 group A member 2	1	B1F, B1F2, CPF, FTF, FTZ-F1, FTZ-F1beta, LRH-1, LRH1, hB1F-2
NR6A1	nuclear receptor subfamily 6 group A member 1	9	CT150, GCNF, GCNF1, NR61, RTR, hGCNF, hRTR
NRARP	NOTCH regulated ankyrin repeat protein	9	
NRAS	NRAS proto-oncogene, GTPase	1	ALPS4, CMNS, N-ras, NCMS1, NS6, NRAS
NRBF2	nuclear receptor binding factor 2	10	COPR, COPR1, COPR2, NRBF-2
NRBP1	nuclear receptor binding protein 1	2	BCON3, MADM, MUDPNP, NRBP
NRCAM	neuronal cell adhesion molecule	7	
NRDC	nardilysin convertase	1	NRD1, hNRD1, hNRD2
NREP	neuronal regeneration related protein	5	C5orf13, D4S114, P311, PRO1873, PTZ17, SEZ17
NRF1	nuclear respiratory factor 1	7	ALPHA-PAL
NRG1	neuregulin 1	8	ARIA, GGF, GGF2, HGL, HRG, HRG1, HRGA, MST131, MSTP131, NDF-IT2, SMDF, NRG1
NRG2	neuregulin 2	5	DON1, HRG2, NTAK
NRG4	neuregulin 4	15	HRG4
NRIP1	nuclear receptor interacting protein 1	21	RIP140
NRP1	neuropilin 1	10	BDCA4, CD304, NP1, NRP, VEGF165R
NRP2	neuropilin 2	2	NP2, NPN2, PRO2714, VEGF165R2
NRSN2	neurensin 2	20	C20orf98, dJ1103G7.6
NRTN	neurturin	19	NTN
NRXN1	neurexin 1	2	Hs.22998, PTHSL2, SCZD17
NRXN3	neurexin 3	14	C14orf60
NSD1	nuclear receptor binding SET domain protein 1	5	ARA267, KMT3B, SOTOS, SOTOS1, STO
NSD2	nuclear receptor binding SET domain protein 2	4	KMT3F, KMT3G, MMSET, REIIBP, TRX5, WHS, WHSC1
NSD3	nuclear receptor binding SET domain protein 3	8	KMT3F, KMT3G, WHISTLE, WHSC1L1, pp14328
NSF	N-ethylmaleimide sensitive factor, vesicle fusing ATPase	17	SEC18, SKD2
NSUN2	NOP2/Sun RNA methyltransferase family member 2	5	MISU, MRT5, SAKI, TRM4
NT5C2	5'-nucleotidase, cytosolic II	10	GMP, NT5B, PNT5, SPG45, SPG65, cN-II
NT5DC3	5'-nucleotidase domain containing 3	12	TU12B1-TY, TU12B1TY
NT5E	5'-nucleotidase ecto	6	CALJA, CD73, E5NT, NT, NT5, NTE, eN, eNT
NTF3	neurotrophin 3	12	HDNF, NGF-2, NGF2, NT-3, NT3
NTF4	neurotrophin 4	19	GLC10, GLC1O, NT-4, NT-4/5, NT-5, NT4, NT5, NTF5
NTHL1	nth like DNA glycosylase 1	16	FAP3, NTH1, OCTS3, hNTH1
NTM	neurotrimin	11	CEPU-1, HNT, IGLON2, NTRI
NTMT1	N-terminal Xaa-Pro-Lys N-methyltransferase 1	9	AD-003, C9orf32, HOMT1A, METTL11A, NRMT, NRMT1, NTM1A
NTN1	netrin 1	17	NTN1L
NTN4	netrin 4	12	PRO3091
NTPCR	nucleoside-triphosphatase, cancer-related	1	C1orf57, HCR-NTPase
NTRK1	neurotrophic receptor tyrosine kinase 1	1	MTC, TRK, TRK1, TRKA, Trk-A, p140-TrkA
NTRK2	neurotrophic receptor tyrosine kinase 2	9	GP145-TrkB, OBHD, TRKB, trk-B
NTRK3	neurotrophic receptor tyrosine kinase 3	15	GP145-TrkC, TRKC, gp145(trkC)
NTS	neurotensin	12	NMN-125, NN, NT, NT/N1, NTS
NTSR1	neurotensin receptor 1	20	NTR
NTSR2	neurotensin receptor 2	2	NTR2
NUAK1	NUAK family kinase 1	12	ARK5
NUAK2	NUAK family kinase 2	1	SNARK
NUCB2	nucleobindin 2	11	HEL-S-109, NEFA
NUCB2	nucleobindin 2	11	HEL-S-109, NEFA
NUCKS1	nuclear casein kinase and cyclin dependent kinase substrate 1	1	JC7, NUCKS
NUDC	nuclear distribution C, dynein complex regulator	1	HNUDC, MNUDC, NPD011
NUDCD1	NudC domain containing 1	8	CML66, OVA66
NUDT1	nudix hydrolase 1	7	MTH1
NUDT10	nudix hydrolase 10	X	APS2, DIPP3-alpha, DIPP3a
NUDT11	nudix hydrolase 11	X	APS1, ASP1, DIPP3b, DIPP3beta, hDIPP3beta
NUDT15	nudix hydrolase 15	13	MTH2D, NUDT15
NUDT21	nudix hydrolase 21	16	CFIM25, CPSF5
NUDT6	nudix hydrolase 6	4	ASFGF2, FGF-AS, FGF2AS, GFG-1, GFG1
NUF2	NUF2, NDC80 kinetochore complex component	1	CDCA1, CT106R, NUF2
NUMA1	nuclear mitotic apparatus protein 1	11	NMP-22, NUMA
NUMB	NUMB, endocytic adaptor protein	14	C14orf41, S171, c14_5527
NUMBL	NUMB like, endocytic adaptor protein	19	CAG3A, CTG3a, NBL, NUMB-RIKE, NUMBR, TNRC23, NUMBL
NUP214	nucleoporin 214	9	CAIN, CAN
NUP62	nucleoporin 62	19	IBSN, SNDI, p62
NUP88	nucleoporin 88	17	
NUPR1	nuclear protein 1, transcriptional regulator	16	COM1, P8
NUS1	NUS1 dehydrodolichyl diphosphate synthase subunit	6	C6orf68, CDG1AA, MGC:7199, NgBR, TANGO14
NUSAP1	nucleolar and spindle associated protein 1	15	ANKT, BM037, LNP, NUSAP, PRO0310p1, Q0310, SAPL
NVL	nuclear VCP-like	1	NVL2
NWD1	NACHT and WD repeat domain containing 1	19	
NXF2	nuclear RNA export factor 2	X	CT39, TAPL-2, TCP11X2
NXF2B	nuclear RNA export factor 2B	X	TCP11X1, bA353J17.1
NXN	nucleoredoxin	17	NRX, TRG-4
NXPH1	neurexophilin 1	7	NPH1, Nbla00697
OAS1	2'-5'-oligoadenylate synthetase 1	12	E18/E16, IFI-4, OIAS, OIASI
OAS2	2'-5'-oligoadenylate synthetase 2	12	
OAZ1	ornithine decarboxylase antizyme 1	19	AZ1, AZI, OAZ
OCA2	OCA2 melanosomal transmembrane protein	15	BEY, BEY1, BEY2, BOCA, D15S12, EYCL, EYCL2, EYCL3, HCL3, P, PED, SHEP1
OCIAD1	OCIA domain containing 1	4	ASRIJ, OCIA, TPA018
OCIAD2	OCIA domain containing 2	4	
OCLN	occludin	5	BLCPMG, PPP1R115, PTORCH1
ODAM	odontogenic, ameloblast associated	4	APIN
ODC1	ornithine decarboxylase 1	2	ODC
ODF1	outer dense fiber of sperm tails 1	8	CT133, HSPB10, ODF, ODF2, ODF27, ODFP, ODFPG, ODFPGA, ODFPGB, RT7, SODF
ODF2	outer dense fiber of sperm tails 2	9	CT134/1, ODF2/2, ODF84, ODF2
ODF3	outer dense fiber of sperm tails 3	11	CT135, SHIPPO1, TISP50
ODF4	outer dense fiber of sperm tails 4	17	CT134, CT136, OPPO1
OGDHL	oxoglutarate dehydrogenase like	10	
OGFOD1	2-oxoglutarate and iron dependent oxygenase domain containing 1	16	TPA1
OGFR	opioid growth factor receptor	20	
OGG1	8-oxoguanine DNA glycosylase	3	HMMH, HOGG1, MUTM, OGH1
OGN	osteoglycin	9	OG, OIF, SLRR3A
OGT	O-linked N-acetylglucosamine (GlcNAc) transferase	X	HINCUT-1, HRNT1, MRX106, O-GLCNAC1, OGT
OIP5	Opa interacting protein 5	15	5730547N13Rik, CT86, LINT-25, MIS18B, MIS18beta, hMIS18beta
OIT3	oncoprotein induced transcript 3	10	LZP
OLA1	Obg like ATPase 1	2	DOC45, GBP45, GTBP9, GTPBP9, PTD004
OLFM1	olfactomedin 1	9	AMY, NOE1, NOELIN1, OlfA
OLFM3	olfactomedin 3	1	NOE3, NOELIN3, OPTIMEDIN
OLFM4	olfactomedin 4	13	GC1, GW112, OLM4, OlfD, UNQ362, bA209J19.1, hGC-1, hOLfD
OLIG1	oligodendrocyte transcription factor 1	21	BHLHB6, BHLHE21
OLIG2	oligodendrocyte transcription factor 2	21	BHLHB1, OLIGO2, PRKCBP2, RACK17, bHLHe19
OLR1	oxidized low density lipoprotein receptor 1	12	CLEC8A, LOX1, LOXIN, SCARE1, SLOX1
ONECUT1	one cut homeobox 1	15	HNF-6, HNF6, HNF6A
OPCML	opioid binding protein/cell adhesion molecule like	11	IGLON1, OBCAM, OPCM
OPHN1	oligophrenin 1	X	ARHGAP41, MRX60, OPN1
OPRD1	opioid receptor delta 1	1	OPRD
OPRM1	opioid receptor mu 1	6	LMOR, M-OR-1, MOP, MOR, MOR1, OPRM
OPTN	optineurin	10	ALS12, FIP2, GLC1E, HIP7, HYPL, NRP, TFIIIA-INTP
OR10G2	olfactory receptor family 10 subfamily G member 2	14	OR14-41
OR3A4P	olfactory receptor family 3 subfamily A member 4 pseudogene	17	OLFRA05, OLFRA06, OR17-13, OR17-16, OR17-24, OR17-25, OR24, OR25, OR3A4, OR3A5P
OR51E1	olfactory receptor family 51 subfamily E member 1	11	D-GPCR, DGPCR, GPR136, GPR164P, OR52A3P, POGR, PSGR2, OR51E1
OR51E2	olfactory receptor family 51 subfamily E member 2	11	OR51E3P, OR52A2, PSGR
ORAI1	ORAI calcium release-activated calcium modulator 1	12	CRACM1, IMD9, ORAT1, TAM2, TMEM142A
ORAI3	ORAI calcium release-activated calcium modulator 3	16	TMEM142C
ORAOV1	oral cancer overexpressed 1	11	TAOS1
ORAOV1P1	oral cancer overexpressed 1 pseudogene 1	4	
ORC1	origin recognition complex subunit 1	1	HSORC1L, PARC1, ORC1
ORC6	origin recognition complex subunit 6	16	ORC6L
ORM1	orosomucoid 1	9	AGP-A, AGP1, HEL-S-153w, ORM
ORM2	orosomucoid 2	9	AGP-B, AGP-B', AGP2
OSBPL2	oxysterol binding protein like 2	20	DFNA67, DNFA67, ORP-2, ORP2
OSBPL5	oxysterol binding protein like 5	11	OBPH1, ORP5
OSBPL6	oxysterol binding protein like 6	2	ORP6
OSCAR	osteoclast associated, immunoglobulin-like receptor	19	PIGR3, PIgR-3
OSCP1	organic solute carrier partner 1	1	C1orf102, NOR1
OSGIN1	oxidative stress induced growth inhibitor 1	16	BDGI, OKL38
OSM	oncostatin M	22	
OSMR	oncostatin M receptor	5	IL-31R-beta, IL-31RBB, PLCA1, OSMR
OSR1	odd-skipped related transciption factor 1	2	ODD
OSR2	odd-skipped related transciption factor 2	8	
OTOA	otoancorin	16	CT108, DFNB22
OTP	orthopedia homeobox	5	
OTUB1	OTU deubiquitinase, ubiquitin aldehyde binding 1	11	HSPC263, OTB1, OTU1
OTUD1	OTU deubiquitinase 1	10	DUBA7, OTDC1
OTUD7B	OTU deubiquitinase 7B	1	CEZANNE, ZA20D1
OTX1	orthodenticle homeobox 1	2	
OVCA2	OVCA2, serine hydrolase domain containing	17	
OVCAS1	Ovarian cancer, epithelial, susceptibility to	3	
OVGP1	oviductal glycoprotein 1	1	CHIT5, EGP, MUC9, OGP
OVOL1	ovo like transcriptional repressor 1	11	HOVO1
OXER1	oxoeicosanoid receptor 1	2	GPCR, GPR170, TG1019
OXT	oxytocin/neurophysin I prepropeptide	20	OT, OT-NPI-NPI, OXT
P2RX7	purinergic receptor P2X 7	12	P2X7
P2RY1	purinergic receptor P2Y1	3	P2Y1, SARCC
P2RY12	purinergic receptor P2Y12	3	ADPG-R, BDPLT8, HORK3, P2T(AC), P2Y(12)R, P2Y(AC), P2Y(ADP), P2Y(cyc), P2Y12, SP1999
P2RY2	purinergic receptor P2Y2	11	HP2U, P2RU1, P2U, P2U1, P2UR, P2Y2, P2Y2R
P2RY6	pyrimidinergic receptor P2Y6	11	P2Y6
P3H2	prolyl 3-hydroxylase 2	3	LEPREL1, MCVD, MLAT4
P4HA2	prolyl 4-hydroxylase subunit alpha 2	5	MYP25
PA2G4	proliferation-associated 2G4	12	EBP1, HG4-1, p38-2G4
PAAF1	proteasomal ATPase associated factor 1	11	PAAF, Rpn14, WDR71
PABPC1	poly(A) binding protein cytoplasmic 1	8	PAB1, PABP, PABP1, PABPC2, PABPL1
PABPC4	poly(A) binding protein cytoplasmic 4	1	APP-1, APP1, PABP4, iPABP
PABPN1	poly(A) binding protein nuclear 1	14	OPMD, PAB2, PABII, PABP-2, PABP2
PACS2	phosphofurin acidic cluster sorting protein 2	14	PACS-2, PACS1L
PADI2	peptidyl arginine deiminase 2	1	PAD-H19, PAD2, PDI2
PADI4	peptidyl arginine deiminase 4	1	PAD, PAD4, PADI5, PDI4, PDI5
PAEP	progestagen associated endometrial protein	9	GD, GdA, GdF, GdS, PAEG, PEP, PP14, ZIF-1
PAF1	PAF1 homolog, Paf1/RNA polymerase II complex component	19	F23149_1, PD2
PAFAH1B2	platelet activating factor acetylhydrolase 1b catalytic subunit 2	11	HEL-S-303
PAFAH1B3	platelet activating factor acetylhydrolase 1b catalytic subunit 3	19	PAFAHG
PAG1	phosphoprotein membrane anchor with glycosphingolipid microdomains 1	8	CBP, PAG
PAGE2	PAGE family member 2	X	CT16.4, GAGEC2, GAGEE2, PAGE-2
PAGE4	PAGE family member 4	X	CT16.7, GAGE-9, GAGEC1, JM-27, JM27, PAGE-1, PAGE-4
PAGE5	PAGE family member 5	X	CT16, CT16.1, CT16.2, GAGEE1, PAGE-5
PAGR1	PAXIP1 associated glutamate rich protein 1	16	C16orf53, GAS, PA1
PAICS	phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase	4	ADE2, ADE2H1, AIRC, PAIS
PAIP2B	poly(A) binding protein interacting protein 2B	2	
PAK1	p21 (RAC1) activated kinase 1	11	PAKalpha
PAK2	p21 (RAC1) activated kinase 2	3	PAK65, PAKgamma
PAK4	p21 (RAC1) activated kinase 4	19	
PAK5	p21 (RAC1) activated kinase 5	20	PAK7
PAK6	p21 (RAC1) activated kinase 6	15	PAK5
PALB2	partner and localizer of BRCA2	16	FANCN, PNCA3
PALLD	palladin, cytoskeletal associated protein	4	CGI-151, CGI151, MYN, PNCA1, SIH002
PAM16	presequence translocase associated motor 16	16	CGI-136, MAGMAS, SMDMDM, TIM16, TIMM16
PAMR1	peptidase domain containing associated with muscle regeneration 1	11	DKFZP586H2123, FP938, RAMP
PAN3	PAN3 poly(A) specific ribonuclease subunit	13	
PAN3-AS1	PAN3 antisense RNA 1	13	
PANDAR	promoter of CDKN1A antisense DNA damage activated RNA	6	PANDA
PANX1	pannexin 1	11	MRS1, PX1, UNQ2529
